2025-06-03 01:28:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-03 01:28:47 [main] INFO  com.notus.CraftSpaceApplication - Starting CraftSpaceApplication using Java 21.0.3 with PID 22576 (C:\Users\Admin\Desktop\craft_space\Backend\target\classes started by Admin in C:\Users\Admin\Desktop\craft_space\Backend)
2025-06-03 01:28:47 [main] DEBUG com.notus.CraftSpaceApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2025-06-03 01:28:47 [main] INFO  com.notus.CraftSpaceApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-03 01:28:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-03 01:28:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 68 ms. Found 5 JPA repository interfaces.
2025-06-03 01:28:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-06-03 01:28:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-03 01:28:49 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-03 01:28:49 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-06-03 01:28:49 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-03 01:28:49 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1433 ms
2025-06-03 01:28:49 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-03 01:28:49 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-06-03 01:28:49 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-03 01:28:49 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-03 01:28:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-03 01:28:50 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3e8afc2d
2025-06-03 01:28:50 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-03 01:28:50 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-06-03 01:28:51 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-03 01:28:51 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-03 01:28:51 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-06-03 01:28:52 [main] DEBUG c.n.security.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2025-06-03 01:28:52 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-03 01:28:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35283b74, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2bbc6496, org.springframework.security.web.context.SecurityContextHolderFilter@8cc7489, org.springframework.security.web.header.HeaderWriterFilter@154f5d37, org.springframework.web.filter.CorsFilter@52cb399d, org.springframework.security.web.authentication.logout.LogoutFilter@3467d540, com.notus.security.JwtAuthenticationFilter@300566e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@301da01d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@8004b2d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3db2388e, org.springframework.security.web.session.SessionManagementFilter@76b17a78, org.springframework.security.web.access.ExceptionTranslationFilter@5a558335, org.springframework.security.web.access.intercept.AuthorizationFilter@992f314]
2025-06-03 01:28:53 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-03 01:28:53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-06-03 01:28:53 [main] INFO  com.notus.CraftSpaceApplication - Started CraftSpaceApplication in 5.608 seconds (process running for 6.588)
2025-06-03 01:33:33 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-03 01:33:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-03 01:33:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2025-06-03 01:33:33 [http-nio-8080-exec-1] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/users/me' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
2025-06-03 01:40:00 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
